Frame,H bond APO,H bond sily,H bond Tada
0,78,49,69
1,81,63,67
2,82,73,51
3,84,55,63
4,85,68,62
5,71,53,63
6,74,68,58
7,62,46,63
8,65,58,65
9,66,50,42
10,82,56,55
11,75,65,59
12,71,56,65
13,75,65,60
14,78,47,58
15,81,52,47
16,79,50,58
17,89,54,56
18,81,59,68
19,75,59,56
20,86,62,57
21,81,45,63
22,76,58,56
23,83,58,62
24,87,58,58
25,82,63,61
26,67,56,52
27,81,50,63
28,70,52,56
29,68,50,60
30,74,61,58
31,64,52,57
32,67,58,57
33,70,46,59
34,72,57,64
35,90,54,64
36,73,47,55
37,79,55,63
38,73,49,66
39,81,57,61
40,84,54,58
41,84,56,57
42,82,42,58
43,80,48,54
44,83,51,61
45,80,52,64
46,77,56,80
47,80,49,66
48,66,59,47
49,90,52,56
50,77,55,53
51,62,46,59
52,73,62,52
53,84,58,63
54,77,57,66
55,86,50,42
56,84,51,52
57,81,52,60
58,74,51,51
59,74,53,58
60,86,45,54
61,72,48,52
62,88,49,63
63,75,44,68
64,88,54,63
65,69,45,60
66,78,55,58
67,80,53,51
68,73,50,56
69,68,49,63
70,87,53,57
71,84,46,51
72,88,54,49
73,83,69,52
74,86,41,57
75,75,44,51
76,72,51,57
77,76,41,48
78,74,50,57
79,77,51,56
80,83,40,53
81,74,42,60
82,84,53,61
83,90,50,56
84,75,54,46
85,83,56,56
86,74,52,60
87,81,37,62
88,58,50,53
89,76,45,56
90,75,51,56
91,82,48,59
92,89,55,61
93,85,47,60
94,68,49,52
95,79,54,60
96,89,44,56
97,76,49,66
98,76,54,58
99,70,47,48
100,77,57,56
101,73,45,54
102,73,57,50
103,79,48,58
104,81,43,54
105,79,44,49
106,74,42,66
107,75,46,61
108,79,39,54
109,70,57,56
110,77,49,60
111,72,56,53
112,83,38,44
113,99,46,57
114,78,52,74
115,77,55,58
116,83,60,52
117,79,45,62
118,86,43,60
119,78,45,67
120,88,45,57
121,83,54,48
122,95,44,69
123,85,48,49
124,87,54,46
125,80,52,63
126,78,55,56
127,74,46,61
128,72,48,59
129,68,48,50
130,90,50,50
131,73,45,59
132,70,52,61
133,71,52,70
134,79,45,52
135,82,55,59
136,76,42,66
137,74,44,47
138,65,48,59
139,79,46,59
140,73,54,63
141,66,54,65
142,71,54,45
143,66,42,43
144,80,45,62
145,88,66,54
146,87,44,60
147,84,53,48
148,80,54,76
149,79,57,70
150,95,56,60
151,78,54,56
152,81,47,60
153,70,53,47
154,78,37,53
155,84,46,69
156,81,46,67
157,75,56,53
158,79,54,57
159,78,51,66
160,76,53,65
161,70,49,65
162,77,50,57
163,75,50,65
164,76,59,51
165,85,53,57
166,77,44,62
167,80,47,52
168,72,53,68
169,88,42,68
170,77,40,48
171,80,50,57
172,83,49,64
173,76,60,66
174,91,46,62
175,85,45,58
176,85,51,59
177,76,60,68
178,90,58,62
179,79,50,53
180,90,55,63
181,87,50,57
182,76,47,63
183,80,52,56
184,72,59,58
185,84,41,61
186,82,51,54
187,70,54,56
188,80,52,58
189,73,45,61
190,82,45,65
191,76,51,74
192,88,53,51
193,77,55,61
194,82,44,55
195,76,42,59
196,83,43,55
197,85,49,44
198,77,50,60
199,69,50,53
200,67,49,52
201,82,40,56
202,83,52,60
203,74,49,68
204,76,36,61
205,69,53,57
206,77,38,57
207,69,60,51
208,83,55,53
209,78,41,59
210,82,48,54
211,77,46,64
212,84,58,58
213,75,46,50
214,77,55,54
215,80,53,60
216,82,52,60
217,72,45,57
218,77,40,55
219,87,50,57
220,86,48,43
221,86,42,53
222,92,46,55
223,72,49,47
224,78,54,55
225,78,50,47
226,76,49,58
227,88,47,60
228,87,47,58
229,74,51,46
230,77,48,62
231,89,54,55
232,67,51,60
233,85,52,58
234,73,51,52
235,62,47,47
236,78,48,53
237,76,48,61
238,79,51,52
239,80,48,58
240,74,51,51
241,71,54,52
242,76,44,55
243,70,50,55
244,70,51,48
245,82,57,55
246,86,55,55
247,74,55,55
248,67,38,65
249,79,46,57
250,80,47,72
251,71,49,53
252,64,46,55
253,63,50,55
254,72,55,61
255,77,47,51
256,85,42,52
257,79,49,52
258,76,38,57
259,69,52,46
260,74,55,53
261,75,67,59
262,86,45,55
263,71,52,45
264,72,48,48
265,81,46,54
266,79,49,60
267,79,49,59
268,81,45,59
269,86,51,48
270,72,50,54
271,76,56,52
272,64,51,44
273,93,56,50
274,84,59,56
275,79,50,45
276,81,47,50
277,76,40,59
278,80,43,60
279,68,48,57
280,61,57,49
281,85,42,58
282,82,53,48
283,85,49,61
284,64,57,63
285,76,48,59
286,69,61,73
287,70,51,53
288,62,43,61
289,70,46,54
290,79,55,60
291,73,55,51
292,74,67,54
293,84,41,55
294,73,55,62
295,75,57,51
296,63,63,55
297,75,59,53
298,80,47,50
299,83,51,55
300,68,48,53
301,64,58,63
302,78,47,53
303,72,57,56
304,86,56,59
305,79,53,57
306,80,57,57
307,67,60,62
308,82,51,53
309,84,60,54
310,67,47,56
311,75,48,51
312,77,56,52
313,79,59,53
314,79,42,58
315,77,52,48
316,82,60,48
317,74,47,49
318,75,47,58
319,72,42,45
320,82,50,50
321,73,44,55
322,83,44,48
323,75,54,45
324,70,46,55
325,69,54,53
326,78,47,51
327,77,50,53
328,74,48,51
329,75,52,48
330,69,49,48
331,78,44,57
332,77,51,41
333,70,49,56
334,61,50,54
335,73,59,56
336,80,51,51
337,78,55,56
338,78,48,48
339,83,57,61
340,80,63,55
341,90,46,48
342,82,48,56
343,77,55,62
344,80,53,60
345,58,62,55
346,72,42,70
347,74,58,48
348,89,46,53
349,69,47,43
350,76,49,56
351,68,52,46
352,84,51,55
353,68,43,68
354,83,48,53
355,86,45,43
356,87,52,45
357,69,39,59
358,69,39,54
359,80,56,61
360,78,43,59
361,70,52,59
362,70,64,75
363,77,60,55
364,68,50,47
365,76,47,44
366,65,56,58
367,78,59,57
368,80,45,58
369,65,60,56
370,78,59,59
371,80,54,59
372,73,51,53
373,92,58,52
374,85,51,59
375,76,39,44
376,71,51,56
377,68,43,49
378,79,40,55
379,91,41,55
380,87,51,57
381,78,35,53
382,74,54,58
383,82,49,37
384,73,45,58
385,77,56,54
386,85,58,53
387,64,61,49
388,69,58,51
389,73,51,57
390,76,45,56
391,85,50,59
392,66,50,52
393,74,45,56
394,74,51,48
395,71,49,54
396,81,61,52
397,65,50,54
398,80,47,62
399,67,42,62
400,84,61,58
401,77,53,56
402,76,56,44
403,75,42,55
404,63,59,58
405,85,58,65
406,67,55,44
407,88,50,49
408,66,54,55
409,77,51,60
410,62,38,52
411,71,55,54
412,78,61,50
413,80,55,51
414,84,52,52
415,74,51,60
416,89,58,54
417,74,53,47
418,65,59,52
419,77,49,61
420,90,61,67
421,82,53,62
422,79,53,48
423,72,55,48
424,69,47,58
425,83,47,48
426,67,37,51
427,68,43,43
428,82,57,65
429,85,63,66
430,75,47,59
431,67,52,57
432,69,48,55
433,78,52,63
434,75,51,64
435,69,51,55
436,65,50,51
437,68,53,59
438,75,55,52
439,74,57,64
440,74,47,56
441,71,49,63
442,76,45,56
443,79,52,51
444,72,58,60
445,73,53,56
446,76,44,62
447,73,50,63
448,57,47,62
449,79,54,47
450,76,55,62
451,81,59,45
452,69,51,50
453,72,52,57
454,80,47,62
455,78,53,57
456,84,57,54
457,82,54,55
458,73,41,59
459,84,56,45
460,76,48,62
461,78,45,55
462,86,54,45
463,66,53,53
464,70,52,50
465,80,58,59
466,69,50,51
467,70,44,53
468,77,53,62
469,66,61,49
470,61,48,61
471,75,46,50
472,79,45,43
473,76,51,57
474,74,55,60
475,69,56,47
476,83,44,47
477,68,53,41
478,68,50,48
479,74,57,51
480,71,48,63
481,71,45,50
482,71,52,59
483,81,58,57
484,75,49,64
485,69,45,56
486,71,45,64
487,80,42,51
488,80,49,57
489,79,55,52
490,76,52,47
491,71,41,58
492,75,56,53
493,63,58,50
494,71,62,59
495,70,47,46
496,75,50,66
497,80,55,58
498,75,42,58
499,65,49,61
500,77,64,52
501,90,50,56
502,83,58,59
503,67,58,55
504,90,54,47
505,75,57,67
506,71,53,58
507,79,50,63
508,81,56,46
509,69,50,65
510,81,45,52
511,85,57,64
512,70,59,55
513,92,43,60
514,66,61,53
515,75,45,63
516,68,50,50
517,71,47,58
518,73,49,55
519,79,59,61
520,78,42,63
521,86,53,58
522,74,66,54
523,82,55,62
524,71,58,65
525,81,58,54
526,80,43,64
527,79,45,57
528,78,52,61
529,75,51,57
530,83,46,71
531,71,52,59
532,92,56,50
533,76,45,50
534,73,42,65
535,78,51,60
536,83,57,59
537,86,56,54
538,79,50,55
539,75,42,61
540,90,48,59
541,82,47,57
542,65,50,50
543,82,50,59
544,65,54,60
545,84,62,61
546,85,68,53
547,78,54,61
548,75,54,61
549,82,57,54
550,86,58,50
551,80,50,47
552,72,55,54
553,86,61,45
554,81,59,48
555,90,63,52
556,88,59,63
557,75,54,56
558,79,58,51
559,78,64,47
560,83,62,42
561,69,57,50
562,79,65,54
563,74,62,56
564,86,56,49
565,89,60,55
566,73,54,42
567,86,55,52
568,73,55,49
569,81,56,50
570,85,53,60
571,79,46,45
572,84,56,57
