Apo RMSD,Silymarin RMSD,tadalafil RMSD
0,0,0
0.641937435,1.437469602,1.278871059
0.673984945,1.433840871,1.541869164
0.805208921,1.426946759,1.547906041
0.818042457,1.661693454,1.811361074
0.775442302,1.804834366,1.687283874
0.873742998,1.845499158,1.789626837
1.001480341,1.83763206,1.939857602
1.033616066,1.872720361,2.080274343
1.021424532,2.105136871,2.341462851
1.002018094,2.03422451,2.322591543
1.043403029,1.983489871,2.204690218
1.021256685,2.038710356,2.165761948
0.981238067,2.04372406,2.197894335
1.028619051,1.92373836,2.45380497
1.016796708,2.08081007,2.805855751
1.036046028,1.864876747,2.920963526
1.056755662,2.061404943,2.694916725
1.014015079,2.100099325,2.995420694
1.080235004,2.195392132,2.844223499
1.075407505,2.351678371,2.972877502
1.068000078,2.537966251,2.765151024
1.087504506,2.44810605,2.821951628
1.038385153,2.351974487,2.789408207
1.05929327,2.475059271,2.825274229
1.084070086,2.437301636,2.712719202
1.180156946,2.414039373,2.61453414
1.166833758,2.293353319,2.345863104
1.177737236,2.42575264,2.310581923
1.153219104,2.39398551,2.445458412
1.118737102,2.51075983,2.645550728
1.084144115,2.330709457,2.608342409
1.087839365,2.476218462,2.421663046
1.10274899,2.619652033,2.346352339
1.102043152,2.784752607,2.262219429
1.040391326,2.950955629,2.471301794
1.061373591,2.927801371,2.517255783
1.092581272,3.206531763,2.567809343
1.167185783,3.292588711,2.401577711
1.147995949,3.280958414,2.282727718
1.200149298,2.871971607,2.198026896
1.210737228,3.196400642,2.309569359
1.315595627,3.054524899,2.459785223
1.300818801,2.976219416,2.289784908
1.338411808,3.267755032,2.386187315
1.290954828,2.982202768,2.413321018
1.275581241,3.258580446,2.369665146
1.247098327,2.886296511,2.480579376
1.348064899,2.910436153,2.373563528
1.343109965,2.824107885,2.632533789
1.27123189,2.939056873,2.884088755
1.282876253,2.63429141,2.716028452
1.277910233,2.601346493,2.967614174
1.328577042,3.053173304,2.816564083
1.351773024,2.747213602,2.661150455
1.388006806,2.834577799,2.745108604
1.432451367,2.953875542,2.646013021
1.354023457,2.785116434,2.692497015
1.428130031,2.793932438,2.578235149
1.374266863,2.841821194,2.55416131
1.428311706,2.904169798,2.570601702
1.42718339,2.880334377,2.630424976
1.398939848,2.74640131,2.60446763
1.344764709,2.611866713,2.577212095
1.386748791,2.709739208,2.542444229
1.392726779,2.689040184,2.361861706
1.362583518,2.620704651,2.49861455
1.343831539,2.594157934,2.703706264
1.429434776,2.600651026,2.732673883
1.407882571,2.669656515,2.569295406
1.40028739,2.671079159,2.899999142
1.438232064,2.574677229,2.983905315
1.477902293,2.628575563,2.961159468
1.444926381,2.651018381,2.796022654
1.434551001,2.667064428,2.962504148
1.470043778,2.818525791,3.011280775
1.521485806,2.941530704,2.987603426
1.483763218,2.921321392,2.746223927
1.480775118,2.793039083,2.79133606
1.472640395,2.788696527,2.698990583
1.475781322,2.698244333,2.97334075
1.517696023,3.044889927,2.789916754
1.515013933,2.903593063,2.78427434
1.430293083,2.74744153,2.909899712
1.429315448,3.043949127,3.19367671
1.405932426,3.059657812,3.13399744
1.442035198,3.236439705,2.980596304
1.45661521,3.495454311,2.971287727
1.480768561,3.539404392,3.006361485
1.50445509,3.454030275,2.887155056
1.455460072,3.32630825,2.90994072
1.525486827,3.555598497,2.89068222
1.531481385,3.282341003,2.971172333
1.647453785,3.185419083,3.199285746
1.64888382,3.183895588,3.196160793
1.665252924,3.013063192,2.97713685
1.702662587,3.168257952,2.89700985
1.656247377,3.150033951,3.047541618
1.650798917,2.915973425,3.054888487
1.630810857,3.198597908,3.220124722
1.608874798,3.198766708,3.082172394
1.588892579,3.417458057,3.320367813
1.547311425,3.462625504,3.181539774
1.575029731,3.554366827,3.409794569
1.501457572,3.516597271,3.477430344
1.49969101,3.368159294,3.386809111
1.466500878,3.315135479,3.144122601
1.515556574,3.257858515,3.249831438
1.512828827,3.640063763,3.44683814
1.521132708,3.254123688,3.374054193
1.482833266,3.298869133,3.49194479
1.586449623,3.508096218,3.505463839
1.623060584,3.399066448,3.63091135
1.569261909,3.421716213,3.654813528
1.586444497,3.335668564,3.291460037
1.685582399,3.190908194,3.342359304
1.596698284,3.487369776,3.236461878
