APO i rad_of_gyr,Silymai rad_of_gyr,Tada i rad_of_gyr
19.67695576,19.87589854,19.81687415
19.67534145,20.0256283,20.05568338
19.72585857,20.12700957,20.14494973
19.64577438,20.16349299,20.09796891
19.74110829,20.09637366,20.24481789
19.71404312,20.02879675,20.07634528
19.68571146,20.03921168,20.02775672
19.71808344,19.97653354,20.0540615
19.70610876,19.99943505,20.07586771
19.71382112,20.08475497,20.06157506
19.70398312,20.08572595,19.97130099
19.73615204,20.10108639,20.10884187
19.7491212,20.04932246,20.00687257
19.68043152,20.05772872,19.93153697
19.6728363,20.09916693,20.15881448
19.78119037,20.18717337,20.19419569
19.71522379,20.10895062,20.12741792
19.70891672,20.17925865,20.16887885
19.71015418,20.17194202,20.04435519
19.70399859,20.20840884,20.17539203
19.64063493,20.20458471,20.19292571
19.67818162,20.39158558,20.08598618
19.65942955,20.29323361,20.09989519
19.62513844,20.33169042,20.10015575
19.67450159,20.35767771,20.14313259
19.67973142,20.43658863,20.10085229
19.6782579,20.27336651,19.9329592
19.62837651,20.34315659,20.04173918
19.64455922,20.24973477,20.02212311
19.69138559,20.24345773,19.97439611
19.62050473,20.20510712,20.04673976
19.62518953,19.98892669,20.0509131
19.61502186,20.13252895,19.99903878
19.55667118,20.18342699,20.10434375
19.59877431,20.08971086,20.00180378
19.57504029,20.17239919,19.97573571
19.63406431,20.06803389,20.05759804
19.60287998,20.21385325,20.14457179
19.57546361,20.11953178,20.03579437
19.57077372,20.15599763,20.04408622
19.55497721,20.0822658,19.95107418
19.55881361,20.11560448,20.18605612
19.60195321,20.12887884,20.17685996
19.60815474,20.20706817,20.08872733
19.58320243,20.13966894,20.16271501
19.60580248,20.07424627,20.06316738
19.62589934,20.17000982,20.12276994
19.65762564,20.06652517,20.06697484
19.70070526,20.11015876,20.0589591
19.54615788,20.2025202,19.98544143
19.61335902,20.07967168,20.19291433
19.58937369,19.95523549,20.08078421
19.62323859,20.00770747,20.40098833
19.62919877,20.12196216,20.21512634
19.5883457,20.12355246,20.19297287
19.55268972,20.25868629,20.28028549
19.46394695,20.16510152,20.11714856
19.53944989,20.11322209,19.95460803
19.5636294,20.15642687,19.87268427
19.51918442,20.22339758,19.97616538
19.49570749,20.19365792,19.83542613
19.62752326,20.24071216,19.86588215
19.58101738,20.13905827,19.85449128
19.62502587,20.39032212,19.91646923
19.63296896,20.22314079,19.88382967
19.56405078,20.19166047,19.86214426
19.61917444,20.13363033,19.87004271
19.60790105,20.14894449,19.74603026
19.5932738,20.00221035,19.90025244
19.61311196,20.01768322,19.93811224
19.62972798,20.0482711,19.96934033
19.6021622,20.0308058,19.94974137
19.612872,19.99787216,19.99301234
19.5760336,19.96878912,20.02333293
