Apo SASA,Silym SASA,Tada SASA,frame#
15972.8916,16613.37109,16156.20117,0
15977.09863,17527.76172,17272.11523,1
16054.95703,17480.79297,17230.61523,2
15722.7627,17457.6543,17309.12305,3
15954.13184,17136.23633,17171.36523,4
15972.30859,17090.88867,16951.06055,5
15878.03613,16657.63477,17216.94531,6
16096.23633,16833.6543,17183.74219,7
16071.55078,16736.48438,17210.30469,8
16148.99023,17030.55273,17144.30078,9
16225.85547,16929.55859,16919.125,10
16160.50586,17287.80273,17312.80078,11
16083.27539,16869.18945,17118.52734,12
15969.36914,17111.375,17178.81641,13
15962.64551,17394.4668,17243.50195,14
16125.33984,17151.625,17420.61914,15
16093.85059,17086.99023,17248.92578,16
15979.71582,17379.875,17390.27148,17
15822.29297,17302.10547,17119.29297,18
15958.32422,17242.39844,17566.94141,19
15981.19531,17379.91406,17121.52148,20
16127.01465,17299.13672,17272.60547,21
15985.16602,17171.08008,17592.49805,22
15886.68945,17796.49609,17008.49609,23
16020.01855,17388.72461,17317.71289,24
15986.78809,17273.24414,17452.83594,25
15971.89844,17435.31641,17110.91602,26
15799.11328,17398.55664,16937.44336,27
15960.62695,17232.20898,16775.60156,28
15995.68848,17443.29297,16802.43359,29
15911.06348,17237.49219,17384.75391,30
15910.99707,16897.90234,17390.67969,31
16049.30762,16882.55273,17178.94336,32
15916.33008,17297.7793,17664.40625,33
15945.45215,17157.48438,17627.88672,34
15961.61523,17292.72656,17166,35
15894.39746,17346.68945,17523.67383,36
15686.96484,17551.85156,17476.38477,37
15830.74414,17365.30469,17569.14063,38
15799.80957,17210.22852,17066.30859,39
15849.52246,17143.19141,16933.57813,40
15816.54688,17514.81055,17073.24414,41
16035.17773,17007.88672,17128.81055,42
15869.36426,17241.05664,17292.67188,43
15966.35645,17252.83984,17307.39063,44
15880.60645,17477.83203,17059.3418,45
15963.32227,17324.00977,17104.06445,46
16004.4873,17067.04102,16844.95898,47
15909.17188,17288.60742,16854.73242,48
15669.87012,17093.02148,16653.32617,49
15808.08984,17140.57813,17084.5293,50
15689.18457,16796.80078,16983.17969,51
15704.34961,16994.6582,17280.62305,52
15851.57813,17264.81445,17294.75586,53
15767.34375,17424.0293,17057.55078,54
15840.94727,17330.51758,17424.55273,55
15559.31738,17439.01953,16994.80664,56
15745.75488,16924.56836,16824.89844,57
16118.91211,17291.97656,16724.82031,58
15939.34961,17545.98633,16713.43945,59
15855.78125,17641.21875,16307.5,60
16295.69727,17421.57617,16631.75195,61
16027.34961,17400.43945,16682.0332,62
16007.38477,17877.68555,16961.97852,63
16071.20801,17342.94922,16836.45117,64
15856.06348,17232.24609,16785.28516,65
16094.85742,17320.17969,16917.60156,66
15862.33984,17489.41602,16717.43359,67
15918.98633,17410.72461,17021.30664,68
15962.52051,17060.64648,17033.38672,69
16080.10547,17075.05469,16892.91016,70
16235.18848,16998.79688,17219.85352,71
16166.16797,16995.94141,17030.76172,72
16171.56836,17218.12305,17347.29883,73
15991.01563,16960.03125,17170.00391,74
15976.23438,16998.48047,17121.2207,75
15918.34277,17048.20117,16987.82031,76
15918.66309,16752.57422,16970.68555,77
15816.91992,16795.34766,16967.5293,78
15939.61621,16833.54102,17208.40234,79
15702.54688,16786.9707,17109.14648,80
15863.94238,16692.04883,17214.625,81
15729.50098,16960.18945,17225.53906,82
15842.3623,16805.83984,17248.17188,83
15690.2168,16789.65039,17152.77734,84
15910.79492,16420.39258,16927.12695,85
15692.84277,16773.07422,16946.10938,86
15831.57617,16791.43945,17002.3457,87
15919.91309,17175.28125,17047.53125,88
15860.60156,16869,16944.32422,89
15935.35938,16691.38867,16882.23828,90
15747.18555,16707.88477,16943.78906,91
15734.89453,17117.48828,17181.88281,92
15410.01855,16792.80859,16797.82227,93
15809.79297,17226.23438,17167.45898,94
15656.56543,16839.6582,16983.41211,95
15553.5332,17002.79688,17176.04688,96
15667.60938,16433.41016,16986.71875,97
15687.14551,16704.82617,16851.0957,98
15824.01172,17029.14453,16796.13867,99
15802.94824,16514.24219,17066.3418,100
15578.00586,16923.72852,16983.82617,101
15552.94922,17205.09375,17190.85352,102
15944.62305,16862.49414,16816.03125,103
15392.08887,17001.90039,17037.54102,104
15489.86719,16988.91016,17075.17773,105
15453.70703,16499.8418,17314.72461,106
15696.81543,16817.59766,17395.31055,107
15680.82031,16825.61719,17114.33984,108
15549.29004,17413.97656,16982.95117,109
15655.65625,17047.03906,16907.41016,110
15548.1748,16988.36133,17026.29492,111
15370.96387,17318.50195,17212.37891,112
15350.95703,17058.39844,16627.79297,113
15335.00098,17453.24414,16943.44531,114
15344.90723,17534.9082,16622.58984,115
15664.52832,17467.26758,16654.37109,116
15632.96582,17097.64453,16316.68945,117
15675.37598,16902.15039,16942.79297,118
15658.85742,17125.12695,16780.19531,119
15742.58887,17366.04102,16602.02148,120
15624.07715,17215.62695,16775.81055,121
15607.24121,16693.20117,16934.23438,122
15674.63867,16640.62305,16560.63281,123
15713.04297,17263.39063,16906.60742,124
15685.16797,16891.21484,17057.05078,125
15581.3584,16625.23047,16930.89648,126
15755.79102,17487.79883,17342.70898,127
15664.79492,17183.9082,17218.31641,128
15930.50098,17101.99414,16772.88672,129
15712.26855,17246.06055,17088.73242,130
15874.43945,17207.27344,16910.62891,131
15781.24512,17164.55078,16971.33984,132
15677.60352,17812.19922,17054.08984,133
15599.30762,17400.17773,17083.44922,134
15734.74805,17131.27344,17045.54883,135
15677.73047,17389.40039,16962.61133,136
15761.77734,17310.87891,17049.74414,137
15741.13965,16968.67578,16776.67773,138
15833.34766,17311.3457,17060.65039,139
15717.09473,17214.18164,16912.23828,140
15823.74805,17642.92383,16856.92578,141
15785.6748,17103.20508,16849.55469,142
15704.50586,17561.70117,16785.87891,143
15800.17871,17060.23242,16959.1582,144
15793.36621,17232.14453,16637.98633,145
15752.22168,17367.49023,16679.83594,146
15932.28613,17378.37695,16742.50977,147
15907.45313,17271.5332,16675.125,148
15958.08008,17216.06055,16982.99414,149
15881.22168,17356.42773,16907.7207,150
15777.93262,17560.66992,17058.50391,151
15677.4707,17564.49609,17097.27539,152
15814.17871,17424.79883,16728.11133,153
15836.47363,17691.41992,16926.19922,154
15928.51563,17355.17969,17005.24609,155
15972.72852,17348.24219,16900.55273,156
15826.6123,17481.14063,16971.72266,157
15748.17383,17011.68945,17088.13281,158
15871.38184,17266.04102,16983.1543,159
15711.94238,17137.16797,17065.9375,160
15477.51563,17510.90234,16748.97266,161
15364.55273,17195,16823.96289,162
15694.41406,17439.1543,17011.99219,163
15688.93848,17367.49023,16959.42383,164
15563.09277,17473.39648,17060.17188,165
15426.00879,17372.85352,16905.83008,166
15648.63477,17103.49023,17039.9375,167
15441.45215,17435.11719,17015.61523,168
15461.70313,17006.61523,17205.18164,169
15240.44238,17534.74414,16893.08789,170
15434.35059,17388.5332,17081.94336,171
15430.33398,17865.39453,17254.9082,172
15317.08594,17474.35156,16883.57031,173
15353.92383,17379.39453,16958.42383,174
15326.25586,17632.67383,16994.21094,175
15165.70215,17448.25,17112.51367,176
15178.28223,17933.9707,16732.46484,177
15246.67969,17869.00586,16934.78906,178
15304.87012,17744.62695,17018.6582,179
15177.18262,17488.16602,16944.97266,180
15287.99805,18178.97266,16950.5332,181
15526.56152,17467.64648,16774.92578,182
15220.80957,17687.95117,16813.54883,183
15446.93066,17538.46289,16538.08203,184
15307.22656,17797.47852,17006.6543,185
15309.16797,17742.50195,16829.05273,186
15329.66992,17498.6582,16891.82617,187
15221.43359,17920.95508,16958.50977,188
15296.41895,17599.66211,16869.09961,189
15176.48633,17307.89063,16801.0293,190
15207.94824,17632.80078,16702.70508,191
15272.31055,17809.94141,16929.93945,192
15378.73828,17650.76563,16782.32227,193
