frame#,Enalapril RMSD (prot BacKbone),Isovitexin Prot_Backbone,Ngenin-7-O-glucoProt_Backbone,ApoproteinProt_Backbone
0,0,0,0,0
1,1.153,1.415,1.326,1.143
2,1.402,1.472,1.411,1.396
3,1.435,1.406,1.524,1.36
4,1.499,1.377,1.453,1.45
5,1.589,1.449,1.598,1.534
6,1.482,1.356,1.716,1.485
7,1.497,1.316,1.674,1.653
8,1.614,1.344,1.732,1.681
9,1.479,1.481,1.767,1.832
10,1.747,1.407,1.659,1.989
11,1.763,1.449,1.773,1.836
12,1.771,1.519,1.594,1.694
13,1.647,1.519,1.491,1.805
14,1.663,1.486,1.638,2.031
15,1.624,1.555,1.544,1.968
16,1.686,1.538,1.595,1.954
17,1.755,1.525,1.493,1.793
18,1.641,1.587,1.734,1.767
19,1.757,1.656,1.644,1.783
20,1.83,1.61,1.605,1.684
21,1.714,1.655,1.594,1.773
22,1.827,1.593,1.62,1.842
23,1.779,1.783,1.598,1.787
24,1.775,1.665,1.538,1.817
25,1.861,1.59,1.766,1.855
26,1.804,1.522,1.739,1.861
27,1.729,1.646,1.701,1.931
28,1.9,1.653,1.656,1.867
29,1.884,1.569,1.758,1.966
30,1.805,1.507,1.503,1.965
31,1.805,1.652,1.575,1.785
32,1.666,1.547,1.671,1.859
33,1.728,1.632,1.848,1.67
34,1.692,1.56,1.761,1.752
35,1.774,1.781,1.748,1.853
36,1.777,1.698,1.804,1.737
37,1.788,1.765,1.76,1.786
38,1.802,1.747,1.753,1.75
39,1.802,1.821,1.879,1.718
40,1.689,1.662,1.811,1.814
41,1.695,1.731,1.847,1.871
42,1.767,1.627,1.763,1.748
43,1.856,1.631,1.844,1.768
44,1.871,1.712,1.822,1.899
45,1.857,1.748,1.884,1.785
46,1.881,1.861,1.851,1.831
47,1.866,1.718,1.959,1.86
48,1.789,1.72,1.868,1.909
49,1.679,1.725,1.655,1.888
50,1.791,1.686,1.908,1.821
51,1.894,1.883,1.993,1.779
52,1.767,1.884,1.919,1.809
53,1.782,1.747,1.843,1.852
54,1.945,2.001,1.878,1.782
55,1.902,1.801,1.698,2.074
56,1.882,1.697,1.861,1.942
57,1.949,1.773,1.822,2.05
58,1.768,1.765,1.886,2.089
59,1.878,1.792,1.853,1.942
60,1.886,1.847,1.745,1.84
61,1.9,1.737,1.744,1.816
62,1.87,1.798,1.759,1.756
63,1.814,1.696,1.864,1.857
64,1.949,1.64,1.872,1.983
65,1.857,1.889,1.986,1.924
66,1.9,1.883,2.026,1.856
67,1.939,1.763,1.961,1.866
68,2.021,1.747,1.992,1.938
69,1.954,1.803,2.174,1.96
70,1.926,1.876,2.085,2.016
71,1.903,1.917,1.992,1.933
72,1.972,1.727,1.994,2.008
73,1.93,1.836,1.984,1.931
74,2.011,1.914,1.992,1.965
75,1.964,1.718,2.051,1.991
76,1.975,1.975,1.941,1.965
77,2.108,1.821,1.86,1.849
78,1.897,1.868,2.05,1.883
79,1.99,1.989,1.92,1.945
80,1.947,1.965,2.145,1.952
81,1.919,1.948,1.975,1.853
82,1.891,1.978,1.85,1.971
83,1.91,2.003,1.824,1.975
84,1.928,1.898,1.854,1.876
85,1.918,2.018,1.9,1.974
86,2.006,2.101,1.655,2.001
87,1.921,2.113,1.895,1.928
88,1.97,2.065,1.915,2.01
89,1.985,1.975,2.099,2.055
90,1.919,2.03,2.08,2.097
91,1.937,1.955,2.054,1.98
92,1.825,1.939,2.149,2.067
93,1.918,1.945,2.099,2.029
94,1.917,1.94,2.055,1.918
95,1.955,1.95,2.159,1.976
96,1.909,1.89,2.186,1.926
97,2.015,1.862,2.102,2.001
98,1.937,1.915,2.063,1.915
99,1.912,2.032,2.057,1.93
100,1.9,1.99,2.105,2.019
101,2.026,1.855,2.044,1.866
102,2.015,2.023,2.077,1.917
103,1.993,2.006,2.092,1.953
104,2.095,1.908,2.158,2.027
105,2.193,2.057,2.068,2.184
106,2.032,2.042,2.054,1.952
107,1.989,2.146,2.076,1.936
108,1.918,1.889,2.018,1.913
109,2.047,2.071,2.082,1.888
110,2.053,1.968,2.002,2.043
111,2.152,2.026,2.01,1.892
112,2.042,2.065,1.985,2.054
113,2.143,2.056,2.036,1.972
114,2.09,2.073,2.173,2.03
