,H
0,94
1,84
2,93
3,88
4,103
5,101
6,101
7,116
8,83
9,91
10,103
11,119
12,89
13,95
14,108
15,101
16,98
17,86
18,99
19,97
20,99
21,101
22,93
23,101
24,101
25,99
26,82
27,95
28,87
29,90
30,98
31,94
32,102
33,103
34,91
35,97
36,101
37,101
38,94
39,102
40,105
41,105
42,96
43,110
44,105
45,91
46,87
47,107
48,105
49,96
50,96
51,91
52,89
53,112
54,92
55,108
56,103
57,99
58,103
59,74
60,96
61,95
62,107
63,97
64,88
65,104
66,90
67,100
68,79
69,104
70,85
71,96
72,89
73,97
74,99
75,90
76,96
77,111
78,102
79,104
80,99
81,93
82,90
83,106
84,90
85,94
86,103
87,97
88,99
89,100
90,97
91,108
92,98
93,96
94,92
95,91
96,97
97,103
98,98
99,85
100,105
101,111
102,85
103,104
104,96
105,103
106,86
107,88
108,111
109,101
110,89
111,108
112,98
113,99
114,95
115,94
116,97
117,99
118,84
119,96
120,109
121,100
122,93
123,106
124,93
125,98
126,98
127,95
128,108
129,101
130,99
131,100
132,97
133,114
134,102
135,99
136,113
137,88
138,88
139,102
140,109
141,95
142,96
143,91
144,99
145,82
146,89
147,90
148,105
149,113
150,103
151,95
152,101
153,98
154,98
155,106
156,112
157,97
158,118
159,117
160,104
161,104
162,93
163,101
164,100
165,93
166,111
167,106
168,106
169,90
170,83
171,73
172,112
173,98
174,107
175,90
176,92
177,94
178,106
179,86
180,94
181,106
182,88
183,104
184,103
185,98
186,88
187,102
188,107
189,89
190,97
191,103
192,94
193,107
194,119
195,97
196,109
197,103
198,99
199,109
200,115
201,114
202,98
203,98
204,99
205,103
206,84
207,105
208,102
209,112
210,107
211,107
212,106
213,96
214,90
215,103
216,98
217,102
218,97
219,107
220,111
221,96
222,103
223,117
224,100
225,104
226,100
227,114
228,89
229,106
230,100
231,97
232,107
233,99
234,100
235,107
236,96
237,108
238,96
239,125
240,91
241,100
242,100
243,113
244,99
245,101
246,100
247,82
248,106
249,107
250,92
251,103
252,89
253,88
254,80
255,86
256,87
257,91
258,87
259,75
260,93
261,104
262,104
263,83
264,97
265,97
266,96
267,104
268,97
269,99
270,94
271,103
272,77
273,94
274,110
275,98
276,97
277,87
278,89
279,87
280,110
281,103
282,110
283,97
284,104
285,94
286,103
287,98
288,101
289,99
290,103
291,91
292,93
293,87
294,104
295,82
296,103
297,103
298,109
299,90
300,102
301,93
302,96
303,97
304,109
305,102
306,108
307,95
308,110
309,107
310,103
311,89
312,104
313,117
314,87
315,96
316,87
317,97
318,101
319,104
320,100
321,77
322,95
323,105
324,101
325,93
326,109
327,93
328,100
329,94
330,104
331,103
332,105
333,92
334,97
335,95
336,101
337,90
338,92
339,113
340,98
341,112
342,95
343,105
344,96
345,90
346,103
347,107
348,98
349,98
350,93
351,94
352,101
353,100
354,105
355,91
356,87
357,103
358,101
359,96
360,93
361,80
362,101
363,100
364,101
365,91
366,107
367,96
368,105
369,96
370,98
371,95
372,90
373,89
374,87
375,91
376,100
377,98
378,102
379,104
380,92
381,89
382,93
383,93
384,83
385,94
386,114
387,88
388,104
389,89
390,111
391,89
392,95
393,97
394,100
395,85
396,97
397,106
398,102
399,88
400,91
401,98
402,105
403,101
404,95
405,102
406,99
407,103
408,86
409,105
410,98
411,97
412,95
413,89
414,92
415,107
416,85
417,111
418,90
419,103
420,96
421,95
422,96
423,110
424,91
425,82
426,97
427,88
428,95
429,93
430,96
431,98
432,93
433,103
434,102
435,92
436,94
437,109
438,110
439,98
440,106
441,104
442,94
443,95
444,87
445,88
446,103
447,99
448,102
449,113
450,113
451,91
452,94
453,89
454,107
455,94
456,104
457,110
458,93
459,99
460,87
461,93
462,91
463,95
464,113
465,86
466,88
467,88
468,99
469,93
