,H
0,94
1,101
2,79
3,85
4,90
5,101
6,87
7,102
8,103
9,98
10,92
11,92
12,94
13,94
14,91
15,91
16,106
17,94
18,99
19,96
20,88
21,97
22,97
23,92
24,87
25,102
26,102
27,96
28,98
29,101
30,103
31,91
32,103
33,84
34,90
35,89
36,102
37,102
38,84
39,90
40,98
41,79
42,92
43,102
44,89
45,85
46,92
47,89
48,97
49,90
50,91
51,93
52,84
53,84
54,85
55,107
56,102
57,103
58,93
59,93
60,97
61,91
62,97
63,88
64,105
65,95
66,94
67,84
68,100
69,99
70,87
71,105
72,104
73,84
74,89
75,85
76,100
77,93
78,99
79,95
80,99
81,93
82,115
83,75
84,97
85,98
86,90
87,95
88,83
89,96
90,100
91,101
92,99
93,96
94,101
95,91
96,100
97,92
98,96
99,96
100,95
101,94
102,102
103,102
104,78
105,89
106,82
107,95
108,90
109,86
110,109
111,100
112,97
113,91
114,102
115,85
116,90
117,93
118,98
119,94
120,98
121,97
122,83
123,95
124,105
125,98
126,98
127,111
128,93
129,108
130,88
131,91
132,99
133,99
134,100
135,90
136,86
137,94
138,100
139,100
140,95
141,93
142,92
143,82
144,116
145,105
146,101
147,104
148,87
149,91
150,98
151,95
152,91
153,95
154,94
155,89
156,80
157,88
158,86
159,105
160,94
161,97
162,88
163,101
164,106
165,99
166,81
167,89
168,93
169,85
170,95
171,103
172,110
173,101
174,103
175,101
176,95
177,102
178,95
179,97
180,79
181,100
182,98
183,91
184,87
185,91
186,104
187,116
188,90
189,98
190,104
191,88
192,80
193,99
194,91
195,83
196,92
197,101
198,105
199,107
200,96
201,97
202,85
203,102
204,99
205,85
206,94
207,105
208,91
209,102
210,83
211,85
212,86
213,95
214,93
215,97
216,95
217,89
218,86
219,99
220,97
221,90
222,89
223,92
224,97
225,96
226,89
227,97
228,93
229,97
230,96
231,96
232,70
233,101
234,101
235,108
236,95
237,93
238,95
239,100
240,85
241,96
242,106
243,74
244,87
245,101
246,99
247,96
248,100
249,83
250,100
251,98
252,105
253,107
254,102
255,112
256,95
257,81
258,96
259,115
260,94
261,79
262,100
263,92
264,95
265,98
266,93
267,88
268,99
269,110
270,73
271,101
272,95
273,111
274,108
275,93
276,98
277,97
278,87
279,86
280,95
281,113
282,91
283,93
284,98
285,91
286,99
287,95
288,103
289,94
290,99
291,97
292,104
293,91
294,93
295,101
296,106
297,94
298,84
299,93
300,104
301,86
302,109
303,88
304,93
305,80
306,92
307,94
308,86
309,102
310,91
311,98
312,100
313,103
314,91
315,88
316,96
317,97
318,108
319,106
320,102
321,99
322,102
323,87
324,103
325,90
326,99
327,108
328,84
329,94
330,98
331,86
332,115
333,95
334,87
335,91
336,85
337,103
338,94
339,91
340,107
341,116
342,92
343,103
344,89
345,100
346,98
347,109
348,97
349,103
350,104
351,105
352,110
353,75
354,112
355,100
356,89
357,103
358,102
359,91
360,95
361,117
362,103
363,85
364,86
365,85
366,104
367,85
368,111
369,105
370,110
371,117
372,83
373,107
374,88
375,84
376,104
377,94
378,94
379,96
380,93
381,109
382,78
383,96
384,99
385,96
386,92
387,111
388,82
389,91
390,107
391,108
392,102
393,97
394,100
395,103
396,96
397,108
398,97
399,111
400,109
401,91
402,93
403,94
404,100
405,103
406,94
407,94
408,103
409,97
410,93
411,98
412,94
413,86
414,91
415,96
416,104
417,91
418,107
419,102
420,94
421,87
422,98
423,107
424,100
425,109
426,98
427,91
428,99
429,104
430,100
431,113
432,97
433,94
434,100
435,116
436,108
437,111
438,99
439,88
440,96
441,110
442,88
443,89
444,96
445,89
446,91
447,100
448,96
449,102
450,90
451,96
452,98
453,106
454,101
455,105
456,95
457,110
458,88
459,100
460,94
461,93
462,104
463,92
464,103
465,96
466,95
467,92
468,107
469,88
470,107
471,92
472,101
473,101
474,92
475,93
476,104
477,108
478,116
479,98
480,105
481,101
482,95
483,111
484,97
485,109
486,103
487,99
488,113
489,103
