,H
0,98
1,96
2,83
3,87
4,88
5,85
6,73
7,93
8,82
9,85
10,94
11,92
12,90
13,85
14,83
15,95
16,95
17,89
18,95
19,93
20,110
21,90
22,109
23,97
24,103
25,93
26,100
27,89
28,87
29,108
30,102
31,103
32,82
33,100
34,86
35,112
36,101
37,94
38,86
39,69
40,106
41,79
42,87
43,91
44,96
45,86
46,90
47,91
48,97
49,96
50,85
51,83
52,100
53,82
54,92
55,84
56,91
57,110
58,113
59,89
60,93
61,85
62,97
63,90
64,83
65,85
66,99
67,101
68,91
69,87
70,106
71,96
72,94
73,95
74,97
75,116
76,98
77,93
78,94
79,99
80,78
81,81
82,106
83,99
84,90
85,93
86,112
87,87
88,102
89,107
90,94
91,99
92,101
93,88
94,77
95,96
96,99
97,100
98,91
99,93
100,84
101,96
102,90
103,76
104,91
105,81
106,96
107,86
108,98
109,94
110,87
111,88
112,105
113,86
114,78
115,98
116,84
117,94
118,99
119,97
120,92
121,94
122,106
123,93
124,99
125,89
126,103
127,103
128,98
129,115
130,106
131,92
132,91
133,99
134,93
135,98
136,91
137,104
138,118
139,92
140,88
141,102
142,88
143,75
144,98
145,99
146,92
147,93
148,86
149,98
150,113
151,102
152,103
153,114
154,96
155,97
156,116
157,101
158,104
159,95
160,94
161,102
162,92
163,97
164,100
165,100
166,91
167,98
168,96
169,80
170,111
171,104
172,85
173,90
174,104
175,103
176,92
177,100
178,90
179,101
180,93
181,90
182,98
183,94
184,101
185,73
186,94
187,94
188,86
189,105
190,91
191,92
192,76
193,96
194,90
195,82
196,94
197,101
198,103
199,91
200,103
201,90
202,96
203,101
204,91
205,110
206,89
207,86
208,93
209,94
210,91
211,101
212,95
213,89
214,88
215,105
216,105
217,91
218,90
219,100
220,100
221,89
222,99
223,95
224,83
225,95
226,87
227,94
228,101
229,96
230,89
231,92
232,98
233,101
234,95
235,91
236,93
237,93
238,97
239,83
240,94
241,96
242,94
243,92
244,73
245,100
246,96
247,109
248,90
249,93
250,81
251,90
252,81
253,89
254,100
255,100
256,102
257,94
258,87
259,98
260,98
261,98
262,87
263,109
264,94
265,95
266,81
267,101
268,103
269,84
270,91
271,91
272,98
273,86
274,88
275,106
276,95
277,78
278,90
279,99
280,106
281,90
282,79
283,99
284,94
285,93
286,86
287,98
288,89
289,90
290,100
291,93
292,93
293,100
294,119
295,96
296,100
297,103
298,90
299,103
300,95
301,98
302,99
303,92
304,94
305,83
306,93
307,92
308,80
309,104
310,86
311,95
312,112
313,109
314,87
315,94
316,110
317,106
318,72
319,97
320,98
321,96
322,88
323,91
324,72
325,96
326,107
327,104
328,94
329,108
330,85
331,104
332,89
333,104
334,84
335,89
336,95
337,87
338,104
339,106
340,90
341,94
342,102
343,100
344,87
345,89
346,114
347,100
348,107
349,100
350,105
351,95
352,118
353,106
354,88
355,102
356,95
357,94
358,110
359,91
360,88
361,101
362,92
363,107
364,111
365,105
366,97
367,95
368,109
369,96
370,101
371,105
372,107
373,99
374,103
375,110
376,95
377,87
378,103
379,96
380,107
381,88
382,82
383,102
384,109
385,106
386,123
387,78
388,101
389,96
390,92
391,98
392,94
393,107
394,100
395,97
396,93
397,107
398,105
399,94
400,95
401,99
402,90
403,105
404,106
405,95
406,92
407,95
408,110
409,87
410,94
411,94
412,98
413,91
414,82
415,111
416,106
417,109
418,101
419,104
420,93
421,114
422,103
423,93
424,90
425,104
426,105
427,91
428,123
429,113
430,109
431,108
432,103
433,104
434,100
435,99
436,95
437,111
438,97
439,102
440,104
441,109
442,104
443,103
444,100
445,95
446,94
447,97
448,106
449,105
450,88
451,105
452,88
453,88
454,106
455,104
456,103
457,95
458,102
459,103
460,91
461,100
462,112
463,95
464,108
465,100
466,107
467,101
468,93
469,101
470,84
471,91
472,98
473,81
474,99
475,99
476,108
477,89
478,94
479,94
480,98
481,104
482,107
483,101
484,87
485,107
486,106
487,98
488,90
489,98
490,92
491,98
492,75
493,104
494,90
495,97
496,95
497,88
498,111
499,116
500,108
501,99
502,99
503,89
504,80
505,98
506,94
507,93
508,88
509,102
510,80
511,98
512,97
513,81
514,94
515,86
516,92
517,114
518,83
519,95
520,103
521,102
522,104
523,97
524,108
525,98
526,97
527,104
528,107
529,96
530,95
531,102
532,105
533,103
534,101
