,H
0,89
1,87
2,81
3,87
4,95
5,86
6,92
7,97
8,96
9,98
10,97
11,98
12,98
13,93
14,99
15,105
16,105
17,86
18,93
19,96
20,96
21,102
22,100
23,100
24,91
25,97
26,95
27,96
28,110
29,95
30,88
31,81
32,90
33,102
34,97
35,85
36,93
37,116
38,83
39,109
40,84
41,95
42,84
43,89
44,99
45,111
46,108
47,100
48,116
49,100
50,84
51,97
52,83
53,94
54,97
55,106
56,92
57,98
58,100
59,92
60,93
61,106
62,104
63,91
64,80
65,103
66,85
67,102
68,99
69,86
70,94
71,101
72,77
73,94
74,88
75,103
76,82
77,91
78,79
79,107
80,97
81,93
82,95
83,98
84,105
85,106
86,93
87,96
88,96
89,94
90,81
91,86
92,102
93,88
94,102
95,99
96,103
97,95
98,104
99,95
100,110
101,106
102,89
103,97
104,100
105,114
106,88
107,97
108,97
109,100
110,103
111,104
112,92
113,105
114,97
115,88
116,107
117,81
118,100
119,92
120,103
121,107
122,106
123,93
124,111
125,101
126,99
127,99
128,101
129,95
130,96
131,105
132,100
133,103
134,95
135,87
136,108
137,98
138,120
139,97
140,83
141,88
142,89
143,94
144,88
145,93
146,97
147,99
148,93
149,100
150,102
151,84
152,101
153,93
154,75
155,85
156,96
157,92
158,91
159,103
160,107
161,82
162,100
163,91
164,95
165,104
166,114
167,100
168,90
169,97
170,98
171,88
172,96
173,105
174,108
175,103
176,104
177,88
178,86
179,85
180,96
181,98
182,94
183,79
184,92
185,109
186,92
187,94
188,104
189,99
190,95
191,87
192,74
193,95
194,99
195,107
196,88
197,100
198,95
199,100
200,92
201,101
202,96
203,104
204,99
205,92
206,108
207,94
208,97
209,95
210,86
211,102
212,85
213,92
214,94
215,80
216,104
217,85
218,94
219,100
220,97
221,98
222,107
223,94
224,87
225,83
226,96
227,88
228,84
229,99
230,84
231,99
232,88
233,97
234,109
235,91
236,95
237,96
238,94
239,105
240,96
241,96
242,98
243,90
244,104
245,109
246,90
247,85
248,85
249,94
250,92
251,90
252,97
253,92
254,116
255,94
256,91
257,100
258,90
259,89
260,97
261,92
262,92
263,100
264,87
265,95
266,93
267,101
268,84
269,97
270,100
271,94
272,108
273,105
274,96
275,92
276,102
277,96
278,99
279,84
280,95
281,97
282,93
283,80
284,106
285,85
286,105
287,99
288,96
289,86
290,81
291,91
292,91
293,99
294,85
295,99
296,87
297,102
298,94
299,87
300,98
301,97
302,98
303,86
304,95
305,101
306,90
307,90
308,86
309,86
310,110
311,105
312,99
313,99
314,92
315,106
316,105
317,80
318,106
319,97
320,99
321,105
322,98
323,91
324,101
325,99
326,95
327,93
328,108
329,96
330,94
331,110
332,101
333,111
334,94
335,106
336,93
337,106
338,92
339,114
340,102
341,96
342,88
343,94
344,100
345,87
346,97
347,98
348,111
349,92
350,108
351,93
352,109
353,105
354,87
355,114
356,91
357,94
358,85
359,101
360,101
361,105
362,100
363,88
364,97
365,96
366,100
367,95
368,99
369,92
370,100
371,88
372,99
373,86
374,86
375,81
376,96
377,97
378,97
379,75
380,93
381,109
382,109
383,100
384,106
385,97
386,99
387,95
388,89
389,114
390,97
391,106
392,99
393,90
394,105
395,105
396,82
397,92
398,95
399,111
400,93
401,104
402,84
403,106
404,99
405,98
406,108
407,96
408,107
409,109
410,90
411,100
412,94
413,108
414,94
415,88
416,91
417,110
418,86
419,103
420,92
421,92
422,76
423,96
424,86
425,111
426,108
427,92
428,90
429,102
430,86
431,90
432,93
433,82
434,90
435,104
436,93
437,97
438,103
439,85
440,97
441,107
442,96
443,86
444,93
445,100
446,100
447,93
448,95
449,92
450,102
451,107
452,82
453,98
454,88
455,110
456,110
457,89
458,99
459,93
460,107
461,109
462,100
463,98
464,89
465,76
466,97
467,101
468,96
469,103
470,101
471,94
472,91
473,101
474,108
475,74
476,103
477,91
478,100
479,91
480,100
481,103
482,88
483,91
484,86
485,115
486,104
487,95
488,103
489,96
490,103
491,101
492,97
493,101
494,92
495,94
496,95
497,108
498,110
499,103
500,103
501,97
502,85
503,103
504,111
505,115
506,117
507,97
508,87
509,95
510,90
511,105
512,87
513,113
514,89
515,99
516,123
517,112
518,84
519,98
520,99
521,95
522,103
523,96
524,100
525,108
526,98
527,116
528,112
529,91
530,114
531,95
532,106
533,103
534,90
535,96
536,113
537,113
538,95
539,94
540,96
541,90
542,99
543,85
544,90
545,88
546,109
547,107
548,89
549,99
550,105
551,92
552,95
553,95
554,96
555,103
556,91
557,96
558,81
559,99
560,86
561,97
562,97
563,89
564,94
565,86
566,91
567,88
568,112
569,99
570,93
571,89
572,79
573,105
574,106
575,98
576,79
577,90
578,96
579,87
580,95
581,89
582,107
583,100
584,99
585,88
586,107
587,117
588,97
589,99
590,92
591,118
592,92
593,101
594,82
595,116
596,110
597,93
598,117
599,99
600,105
601,77
602,110
603,98
604,107
605,87
606,104
607,96
608,100
609,118
610,115
611,104
612,97
613,104
614,104
615,103
616,97
617,96
618,95
619,100
620,85
621,102
622,111
623,99
624,111
625,112
626,121
627,98
628,100
629,107
630,95
631,99
632,98
633,105
634,99
635,99
636,99
637,93
638,104
639,105
640,102
641,101
642,87
643,97
644,95
645,94
646,107
647,108
648,95
649,96
650,102
651,92
652,112
653,88
654,104
655,88
656,107
657,117
658,96
659,103
660,95
661,93
662,101
663,111
664,86
665,92
666,84
667,92
668,97
669,98
670,118
671,101
672,88
673,105
674,105
675,100
676,89
677,101
678,102
679,87
680,106
681,101
682,108
683,111
684,103
685,99
686,104
687,101
688,102
689,95
690,93
691,108
692,106
693,108
694,89
695,109
696,98
697,108
698,93
699,94
700,109
701,101
702,93
703,98
704,105
705,112
706,104
707,92
708,96
709,98
710,111
711,112
712,91
713,94
714,98
715,75
716,104
717,91
718,106
719,109
720,100
721,104
722,98
723,97
724,88
725,91
726,98
727,118
728,83
729,92
730,94
731,95
732,96
733,88
734,113
735,106
736,95
737,107
738,98
739,99
740,108
741,112
742,89
743,109
744,99
745,94
746,102
747,98
748,94
749,93
750,104
751,92
752,90
753,100
754,98
755,93
756,104
757,100
758,90
759,87
760,104
761,97
762,111
763,100
764,97
765,94
766,108
767,121
768,98
769,106
770,100
771,110
772,96
773,100
774,95
775,113
776,95
777,103
778,96
779,99
780,96
781,105
782,84
783,98
784,109
785,103
786,97
787,100
788,124
789,96
790,100
791,100
792,107
793,103
794,102
795,95
796,87
797,86
798,79
799,102
800,95
801,94
802,88
803,112
804,125
805,102
806,93
807,93
808,100
809,103
810,92
811,92
812,82
813,89
814,102
815,95
816,111
817,94
818,101
819,99
820,98
821,94
822,89
823,99
824,92
825,95
826,94
827,96
828,83
829,92
830,92
831,89
832,80
833,97
834,96
835,85
836,90
837,84
838,93
839,91
840,99
841,113
842,95
843,103
844,96
845,102
846,96
847,95
848,101
849,101
850,94
851,96
852,96
853,102
854,103
855,94
856,107
857,86
858,93
859,90
860,102
861,92
862,104
863,101
864,95
865,100
866,111
867,106
868,90
869,111
870,90
871,80
872,89
873,91
874,103
875,96
876,89
877,114
878,95
879,82
880,92
881,105
882,97
883,97
884,94
885,111
886,90
887,92
888,93
889,110
890,110
891,90
892,101
893,95
894,101
895,100
896,93
897,102
898,92
899,93
900,97
901,93
902,89
903,93
904,101
905,80
906,104
907,96
908,98
909,90
910,82
911,85
912,97
913,98
914,93
915,103
916,91
917,96
918,99
919,89
920,103
921,106
922,97
923,96
924,89
925,111
926,101
927,102
928,88
929,98
930,113
931,100
932,77
933,87
934,99
935,110
936,94
937,101
938,101
939,98
940,89
941,84
942,108
943,90
944,105
945,92
946,86
947,80
948,77
949,83
950,90
951,80
952,97
953,92
954,82
955,100
956,100
957,91
958,90
959,90
960,86
961,72
962,100
963,107
964,95
965,111
966,90
967,101
968,96
969,91
970,91
971,86
972,88
973,100
974,90
975,105
976,87
977,86
978,89
979,98
980,96
981,93
982,90
983,91
984,83
985,96
986,87
987,99
988,94
989,92
990,97
991,97
992,93
993,89
994,102
995,98
996,100
997,101
998,101
999,101
1000,98
